completed_t2_flag,male,non_binary,single_t1,age_z,tenure_score_t1_z,total_approvals_t1_log_z,anthropomorphism_score_t1_z,intensity_avg_t1_z,companionship_use_t1_z,relational_t1_z,self_disclosure_select_avg_t1_z,chatbot_use_social_primary_flag_t1,well_being_avg_t1_z,intensity_avg_t2_z,companionship_use_t2_z,relational_t2_z,self_disclosure_select_avg_t2_z,well_being_avg_t2_z,time_inperson_z
1,1,0,1,0.0720456436704649,-1.822673328920161,1.3719340544290446,-0.7471655762935278,-1.9873209852293865,-0.3555829950036889,-1.0080559469640418,-0.2720081363813634,0,-1.7238224888350453,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-1.7039337819951887,-1.955743244521583
1,0,0,0,0.7239171444792128,-1.822673328920161,2.144696832994902,0.4892342033452379,-0.9150468597865812,-0.3555829950036889,-1.0080559469640418,0.1825545078232127,0,0.286649297934437,-0.50963814413962,0.1008886874815482,1.010302471565581,-0.5347955440099867,1.249892352720865,0.4799199734783458
1,0,0,0,0.537668144248142,-0.4594103968661684,0.4983549071261266,-0.1289656864741449,-1.1702988071372102,-0.3555829950036889,-1.0080559469640418,0.6371171527096334,0,0.7892672440613618,-0.2212520961074212,0.9608912856252324,1.010302471565581,0.7594450502977093,1.0135862614898723,1.088835777978328
0,0,0,1,-0.2073278566761413,-0.4594103968661684,1.3688980870295224,-1.9835653559322937,-0.916882952758288,-0.3555829950036889,-1.0080559469640418,-0.4992894591654961,0,-0.7185865958272676,,,,,,
1,1,0,1,0.1651701437860003,-0.4594103968661684,1.2671155624450086,-1.3653654661129109,-0.8390936751975335,-0.3555829950036889,0.9911705877184126,-1.1811334261542046,0,-0.8442410819820356,1.0024351522563868,0.5308899865533903,1.010302471565581,0.6300209906339761,-0.1679441918294137,-0.1289958310216364
1,1,0,1,-0.3004523567916767,-1.822673328920161,-0.572824009075733,-1.3653654661129109,-1.931641932833717,-0.3555829950036889,-1.0080559469640418,-0.7265707812677842,0,0.4123037840892044,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,0.5409740804457256,1.088835777978328
1,1,0,1,1.0032906448258192,-0.4594103968661684,2.626007313531775,-1.3653654661129109,-1.0820840169735892,2.809907727435166,0.9911705877184126,-0.0447268142790753,1,-1.975131461898508,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-1.467627691473115,-0.7379116355216186
1,0,0,0,0.1651701437860003,-0.4594103968661684,2.206039344063119,0.4892342033452379,-0.121167996322123,-0.3555829950036889,0.9911705877184126,1.3189611196983422,0,1.2918851909422144,1.0322067341397283,0.9608912856252324,1.010302471565581,0.7594450502977093,1.0135862614898723,-0.7379116355216186
1,0,0,1,-0.2073278566761413,0.9038525351878244,1.6295311269396182,0.4892342033452379,0.8259756674753087,-0.3555829950036889,-1.0080559469640418,0.6371171527096334,0,-0.8442410819820356,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-0.28609723744491,-0.1289958310216364
0,0,1,0,0.0720456436704649,-0.4594103968661684,-0.7597475851541964,-0.7471655762935278,0.381631751724862,2.809907727435166,0.9911705877184126,1.3189611196983422,1,-1.4725135157715823,,,,,,
